20221002;1;1;50;50;0;0;35250
20221015;1;1;10;10;0;0;6840
20221025;1;1;70;70;0;0;36960
20221105;1;1;40;40;0;0;27560
20221120;1;1;5;5;0;0;3195
20221201;1;1;100;100;0;0;72300
20221215;1;1;10;10;0;0;6140
20221219;1;1;25;25;0;0;18500
20221002;2;1;50;50;0;0;33800
20221015;2;1;40;40;0;0;24840
20221025;2;1;50;50;0;0;33150
20221105;2;1;5;5;0;0;3420
20221120;2;1;15;15;0;0;7560
20221201;2;1;75;75;0;0;38550
20221215;2;1;200;200;0;0;123200
20221219;2;1;175;175;0;0;118300
20221002;1;2;78;78;0;0;48750
20221015;1;2;9;9;0;0;6849
20221025;1;2;125;125;0;0;72875
20221105;1;2;15;15;0;0;8925
20221120;1;2;20;20;0;0;11540
20221201;1;2;89;89;0;0;67195
20221215;1;2;64;64;0;0;47360
20221219;1;2;80;80;0;0;47840
20221002;2;2;40;40;0;0;27800
20221015;2;2;35;35;0;0;27090
20221025;2;2;40;40;0;0;24120
20221105;2;2;0;0;0;0;0
20221120;2;2;10;10;0;0;5060
20221201;2;2;0;0;0;0;0
20221215;2;2;20;20;0;0;14140
20221219;2;2;4;4;0;0;3160